Yfirflokkur;Undirflokkur;Janúar;Febrúar;Mars;Apríl;Maí;Júní;Júlí;Ágúst;September;Október;Nóvember;Desember
Rekstargjöld;Laun;12148665839;11137737271;10793045857;11529113245;12886719829;12524392050;11944275547;12194465496;12037329470;11907420687;11924707554;13532606496
Rekstargjöld;Lífeyrisskuldbindingar;843934338;824869106;976805939;826424993;833062522;949439272;925129897;943745587;919173675;1011452603;958404061;1172567244
Rekstargjöld;Önnur gjöld;9550964883;10160661726;14172909400;11310722487;10900493138;10467315072;10003989399;9340193632;11539513815;12484271536;10233151271;15514282997
Rekstargjöld;Sértekjur stofnana;-1969513520;-2481591445;-2769544631;-3250318600;-2996140362;-3804466413;-3197789168;-3008505329;-3921246101;-4585672775;-1817530649;-6243880461
Fjármagnskostnaður;Fjármagnskostnaður;7379766603;8811046606;4925295484;6888466223;5109273755;12716056479;5235143075;2215785920;2452923705;10732674857;5556187360;4909754314
Rekstrar- og neyslutilfærslur;Lífeyristryggingar;5620934327;5706974862;5725933984;5700898252;5709110343;5692025013;6694820352;5739998436;5741015237;5751786410;5782793674;6940451520
Rekstrar- og neyslutilfærslur;Sjúkratryggingar;1875436349;2220120060;2481569625;2457198712;2608001007;2176976975;1785439000;2154160238;2376919187;2604515060;2466699809;2977915822
Rekstrar- og neyslutilfærslur;Bætur skv. lögum um félagsl.aðstoð;1073271833;1084996366;1091632850;1111537697;1102194106;1087813860;967328128;1067679400;1071394736;1063145192;1124682510;1265850367
Rekstrar- og neyslutilfærslur;Fæðingarorlof;702168402;675355697;695752104;675407079;690049500;738311878;851588042;799112789;724945476;721217414;714748070;813908878
Rekstrar- og neyslutilfærslur;Greiðslur vegna b-vöruframleiðslu;1011165617;953796186;1216972719;728956372;749603136;851355492;773976321;1571981822;0;574636151;1456258610;1367298770
Rekstrar- og neyslutilfærslur;Barnabætur;2345936862;48681866;8413815;2358826791;32669886;7253800;165935;2426230591;446100;2529808546;39448040;19923365
Rekstrar- og neyslutilfærslur;Vaxtabætur;59618468;12849077;119518207;139461597;7289762;928761;2116260;7829873075;102340291;118712082;52681192;22252337
Rekstrar- og neyslutilfærslur;Jöfnunarsjóður sveitarfélaga;1411120000;1295404090;1383963565;1380301859;1378942170;1405146324;1408190030;1415604120;1429082922;1386127612;1396585705;2233531603
Rekstrar- og neyslutilfærslur;Atvinnuleysistryggingasjóður;1206105459;1320555985;1289331340;1331131219;1145136582;1026567386;1043055908;967817752;931948106;1016026791;1196822997;1127173098
Rekstrar- og neyslutilfærslur;Lánasjóður íslenskra námsmanna;5500000000;0;0;0;2300000000;0;0;0;200000000;0;0;337005055
Rekstrar- og neyslutilfærslur;Sóknargjöld;167943750;167943750;285443746;167943750;167943750;167943750;167943750;167943750;167943750;167943750;167943750;167943750
Rekstrar- og neyslutilfærslur;Aðrar rekstrar og neyslutilfærslur;2850297936;3020983047;3765036299;2096142615;2100199768;3027254968;2700736552;4103386432;3883925880;2809478207;3427759801;9480677446
Viðhald;Vegagerðin;58809269;89756064;101738869;92540974;331263198;546120475;867675849;1105745466;828053515;432667041;281038310;248205831
Viðhald;Fasteignir ríkisjóðs;93969218;117472812;210715853;159460204;146472960;275413368;293994229;252210087;211256493;242732133;172615777;353182714
Viðhald;Annað viðhald;136055611;127747963;341463892;193974613;287429659;616204639;355164449;255336364;360687644;236905468;426903553;825792510
Fjármagnstilfærslur;Vegagerðin;32899753;15615263;11010780;19864144;0;1029507;7615661;1481756;9290146;8607904;31462774;87192280
Fjármagnstilfærslur;biflánasjóður;0;0;0;0;0;0;0;0;0;0;0;0
Fjármagnstilfærslur;Niðurfærsla verðtryggðra húsnæðislána;0;0;0;0;0;0;0;0;0;0;0;35687700000
Fjármagnstilfærslur;Annað  ;124676898;146388128;326738986;450799202;326962769;709992454;445863089;511608097;144773605;493799711;267381391;43946047
Fjárfesting;Vegagerðin;374444263;389020350;677719067;321589291;1176819212;514331818;1110940040;1008885521;1109615847;951083832;643122819;1010782096
Fjárfesting;Skólar;47559690;33348097;10477263;128193878;43323380;116390359;161372921;21552155;83551603;98134430;265151220;289746154
Fjárfesting;Sjúkrahús og heilsugæslustöðvar;5551735;4526664;39727317;20974729;33104901;6803426;6144599;92499124;21024632;37749311;30198026;354998204
Fjárfesting;Hafnamél;19440443;1545642;41663511;11621508;64175249;11155709;11362898;11832100;9252700;35541643;55837662;52861206
Fjárfesting;Annað;184590502;199292171;145624554;155614490;35951434;63639997;438357319;229436116;146630765;231030436;426345807;472737841
Gjöld alls;Gjöld alls;52855814528;46085097404;48068960395;47006847324;47170051654;51895396419;45004600082;53420060497;42581793199;53061796032;47281401094;95066407484
