Urðun lífbrjótanlegs úrgangs,Ár,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,...
ULH.1,Heimilisúrgangur,78.456,65.586,97.207,55.554,65.835,64.844,66.072,66.371,71.515,70.731,77.489,88.147,,
ULH.2,Heimilisúrgangur markmið 2009,,,,54.095,54.095,54.095,54.095,54.095,,,,,,
ULH.3,Heimilisúrgangur markmið 2013,,,,,,,,36.064,36.064,36.064,36.064,36.064,36.064,
ULH.4,Heimilisúrgangur markmið 2020,,,,,,,,,,,,,25.244,25.244
ULR.1,Rekstrarúrgangur,67.548,59.765,56.659,43.757,19.692,20.767,25.654,24.330,16.396,26.150,27.658,31.744,,
ULR.2,Rekstrarúrgangur markmið 2009,,,,126.222,126.222,126.222,126.222,126.222,,,,,,
ULR.3,Rekstrarúrgangur markmið 2013,,,,,,,,84.148,84.148,84.148,84.148,84.148,84.148,
ULR.4,Rekstrarúrgangur markmið 2020,,,,,,,,,,,,,58.904,58.904
ULS.1,Samtals,146.004,125.352,153.866,99.312,85.527,85.611,91.726,90.701,87.911,96.881,105.147,119.891,,
ULS.2,Samtals markmið 2009,,,,180.317,180.317,180.317,180.317,180.317,,,,,,
ULS.3,Samtals markmið 2013,,,,,,,,120.212,120.212,120.212,120.212,120.212,120.212,
ULS.4,Samtals markmið 2020,,,,,,,,,,,,,84.148,84.148
